TABLE_NAME	COLUMN_NAME	COLUMN_TYPE	IS_NULLABLE	COLUMN_DEFAULT	COLUMN_KEY	EXTRA
tratamiento	id_adulto	int	NO	NULL	MUL	
tratamiento	id_medicamento	int	NO	NULL	MUL	
tratamiento	id_cuidador	int	YES	NULL	MUL	
tratamiento	dosis	varchar(100)	NO	NULL		
tratamiento	frecuencia	varchar(100)	NO	NULL		
tratamiento	fecha_inicio	date	YES	NULL		
tratamiento	fecha_fin	date	YES	NULL		
tratamiento	activo	tinyint(1)	NO	1		
usuarios	id	int	NO	NULL	PRI	auto_increment
usuarios	nombre	varchar(150)	NO	NULL		
usuarios	correo	varchar(254)	NO	NULL	UNI	
usuarios	password_hash	varchar(255)	NO	NULL		
usuarios	rol	enum('Administrador','Adulto Mayor','Cuidador','Familiar')	NO	NULL	MUL	
usuarios	genero	varchar(30)	YES	NULL		
usuarios	telefono	varchar(20)	YES	NULL		
usuarios	ubicacion	varchar(200)	YES	NULL		
usuarios	foto_perfil	varchar(500)	YES	NULL		
usuarios	fecha_registro	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
vw_adherencia_medicacion	id_adulto	int	NO	0		
vw_adherencia_medicacion	nombre_adulto	varchar(150)	NO	NULL		
vw_adherencia_medicacion	medicamento	varchar(150)	NO	NULL		
vw_adherencia_medicacion	id_tratamiento	int	NO	0		
vw_adherencia_medicacion	tomas_totales	bigint	NO	0		
vw_adherencia_medicacion	tomas_tomadas	decimal(23,0)	YES	NULL		
vw_adherencia_medicacion	tomas_omitidas	decimal(23,0)	YES	NULL		
vw_adherencia_medicacion	tomas_atrasadas	decimal(23,0)	YES	NULL		
vw_adherencia_medicacion	tomas_programadas	decimal(23,0)	YES	NULL		
vw_adherencia_medicacion	porcentaje_adherencia	decimal(29,2)	NO	0.00		
vw_progreso	id_usuario	int	NO	0		
vw_progreso	nombre_usuario	varchar(150)	NO	NULL		
vw_progreso	puntos	decimal(32,0)	NO	0		
vw_progreso	actividades_completadas	bigint	NO	0		
vw_progreso	cognitivas_completadas	decimal(23,0)	YES	NULL		
vw_progreso	fisicas_completadas	decimal(23,0)	YES	NULL		
vw_progreso	ultima_actividad	datetime	YES	NULL		
